sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,sw_10,sw_11,sw_12,sw_13,sw_14,sw_15,sw_16,loss
1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0.08226745507937934
1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0.08331061154767143
1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0.08427738979345031
1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.08535186987194258
1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0.08691383124759527
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.08712400326967006
1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0.08774433849923974
1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.08836502900095246
1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0.08890514857308016
1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.08944296450420428
1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.09211665937242057
1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0.09269068436811169
1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.09419161949537606
1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0.09453181913823486
1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.09708809323668027
1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0.09726163138160888
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0.09878155990109783
1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0.10035184282006081
1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0.10170988648426899
1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.1024012434453269
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.1041476245333035
1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0.10500141570817041
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.10743470684608827
1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.10764742784219836
1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0.10843960511144254
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.10853325107934586
1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.10863019532811251
1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.10980701387956254
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.1110690946820018
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.11160099109879737
1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0.1121214183646656
1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0.1132327450364887
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.1138775478555944
1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0.11751919535031766
1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.13826777124717954
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,inf
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,inf
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,inf
